file,stepLimit,time,tests,outcome,steps,jumps
prog0220.ml,500,2.630949020385742e-3,1,U,10,6
prog0221.ml,500,2.736595869064331,1000,S,0,0
prog0222.ml,1000,60.01023983955383,1,T,0,0
prog0223.ml,500,4.157066345214844e-3,1,D,0,0
prog0224.ml,500,6.191730499267578e-4,1,U,4,2
prog0225.ml,500,2.483844757080078e-3,1,U,9,2
prog0226.ml,500,1.7473936080932617e-2,1,S,0,0
prog0227.ml,500,6.471872329711914e-3,5,U,14,7
prog0228.ml,500,3.415822982788086e-3,3,U,12,5
prog0229.ml,500,1.7054698467254639,1000,S,0,0
prog0230.ml,500,5.753993988037109e-3,4,U,14,7
prog0231.ml,500,1.1473894119262695e-2,1,S,0,0
prog0232.ml,500,3.576993942260742e-3,3,U,14,7
prog0233.ml,500,7.387876510620117e-3,5,U,14,7
prog0234.ml,500,4.106998443603516e-3,3,U,11,5
prog0235.ml,500,6.6530704498291016e-3,4,U,11,5
prog0236.ml,500,1.3092994689941406e-2,1,S,0,0
prog0237.ml,500,5.177021026611328e-3,4,U,12,5
prog0238.ml,500,1.0596990585327148e-2,7,U,12,5
prog0239.ml,500,3.876924514770508e-3,3,U,11,5
prog0240.ml,500,1.904606819152832e-2,1,S,0,0
prog0241.ml,500,2.5560855865478516e-3,3,U,11,5
prog0242.ml,500,9.274005889892578e-3,1,S,0,0
prog0243.ml,500,3.916025161743164e-3,4,U,11,5
prog0245.ml,500,1.1441707611083984e-3,1,U,6,2
prog0247.ml,500,5.533933639526367e-3,3,U,12,3
prog0248.ml,500,1.0648965835571289e-2,3,U,8,2
prog0249.ml,500,1.565408706665039e-2,4,U,8,2
prog0250.ml,500,3.630399703979492e-2,4,U,26,9
prog0251.ml,500,5.19108772277832e-3,4,U,12,5
prog0252.ml,500,2.265094041824341,1000,S,0,0
prog0255.ml,500,1.4181852340698242e-2,2,U,22,6
prog0256.ml,500,4.2269229888916016e-3,1,B,9,6
prog0257.ml,500,4.199028015136719e-3,1,U,7,6
prog0258.ml,500,0.2478809356689453,7,U,47,18
prog0259.ml,500,1.583099365234375e-2,2,U,15,4
prog0260.ml,500,6.05010986328125e-2,3,H,37,9
prog0261.ml,500,0.1423039436340332,9,U,44,10
prog0262.ml,500,6.088972091674805e-3,3,U,17,3
prog0263.ml,500,4.904031753540039e-3,1,U,15,3
prog0264.ml,500,2.2439956665039063e-3,1,S,0,0
prog0265.ml,500,4.5948028564453125e-3,1,U,15,3
prog0266.ml,500,3.7873029708862305e-2,6,U,49,13
prog0267.ml,500,5.8689117431640625e-3,1,U,15,3
prog0268.ml,500,1.8805980682373047e-2,4,U,21,4
prog0269.ml,500,0.26067185401916504,1,S,0,0
prog0270.ml,500,1.073002815246582e-2,1,U,23,5
prog0271.ml,500,1.232600212097168e-2,4,U,10,3
prog0272.ml,500,8.96596908569336e-3,4,U,9,3
prog0273.ml,500,1.2403011322021484e-2,5,U,9,3
prog0274.ml,500,1.3899803161621094e-2,4,U,11,5
prog0275.ml,500,1.065969467163086e-3,1,U,3,2
prog0276.ml,500,8.774042129516602e-3,2,U,11,3
prog0277.ml,500,2.0843029022216797e-2,2,U,32,7
prog0278.ml,500,2.6243925094604492e-2,5,U,26,5
prog0279.ml,500,1.9469261169433594e-3,1,S,0,0
prog0280.ml,500,2.583026885986328e-3,1,S,0,0
prog0281.ml,500,9.254932403564453e-3,1,U,22,4
prog0282.ml,500,6.2639713287353516e-3,2,U,10,3
prog0283.ml,500,3.3020973205566406e-3,2,U,10,4
prog0284.ml,500,9.958982467651367e-3,3,U,25,5
prog0285.ml,500,8.639097213745117e-3,2,U,14,3
prog0286.ml,500,1.0590076446533203e-2,2,U,22,4
prog0287.ml,500,5.137920379638672e-3,1,U,13,4
prog0288.ml,500,7.920026779174805e-3,3,U,13,3
prog0289.ml,500,1.6087055206298828e-2,4,U,13,2
prog0290.ml,500,1.244497299194336e-2,4,U,14,3
prog0291.ml,500,4.5742034912109375e-2,6,U,62,15
prog0292.ml,500,1.1830329895019531e-3,1,S,0,0
prog0293.ml,500,7.895493507385254e-2,6,U,76,19
prog0294.ml,500,4.129886627197266e-3,5,U,9,3
prog0295.ml,500,1.028585433959961e-2,7,U,10,3
prog0296.ml,500,6.350040435791016e-3,5,U,10,3
prog0297.ml,500,6.354093551635742e-3,4,U,8,3
prog0298.ml,500,8.234024047851563e-3,6,U,9,3
prog0299.ml,500,8.987903594970703e-3,5,U,7,2
prog0300.ml,500,5.906105041503906e-3,4,U,7,2
prog0301.ml,500,5.2111148834228516e-3,4,U,7,2
prog0302.ml,500,4.583835601806641e-3,3,U,8,3
prog0303.ml,500,5.409955978393555e-3,3,U,9,5
prog0304.ml,500,4.398822784423828e-3,3,U,7,4
prog0305.ml,500,7.294893264770508e-3,5,U,7,4
prog0306.ml,500,3.576040267944336e-3,1,S,0,0
prog0307.ml,500,8.785009384155273e-3,5,U,7,4
prog0308.ml,500,6.886959075927734e-3,4,U,9,5
prog0309.ml,500,8.523941040039063e-3,5,U,8,3
prog0310.ml,500,0.3076310157775879,1,S,0,0
prog0311.ml,500,0.311704158782959,1,S,0,0
prog0312.ml,500,9.062051773071289e-3,3,U,26,9
prog0313.ml,500,8.224296569824219e-2,5,U,70,19
prog0314.ml,500,45.05851697921753,1000,S,0,0
prog0315.ml,500,1.1268138885498047e-2,1,U,37,10
prog0316.ml,500,5.4934024810791016e-2,2,U,65,13
prog0317.ml,500,4.273796081542969e-2,1,U,68,13
prog0318.ml,500,4.111790657043457e-2,1,U,68,13
prog0319.ml,500,4.686307907104492e-2,1,U,68,13
prog0320.ml,500,4.9910783767700195e-2,1,U,56,7
prog0321.ml,500,5.7749032974243164e-2,1,U,56,7
prog0322.ml,500,5.4364919662475586e-2,1,B,55,7
prog0323.ml,500,9.39021110534668e-2,1,U,86,13
prog0324.ml,500,9.119033813476563e-3,1,U,13,3
prog0325.ml,500,6.815910339355469e-2,1,U,86,13
prog0326.ml,500,1.4204978942871094e-2,1,U,17,4
prog0327.ml,500,1.8059968948364258e-2,2,U,34,6
prog0328.ml,500,1.9631385803222656e-3,1,D,0,0
prog0329.ml,500,3.6749839782714844e-3,1,D,0,0
prog0330.ml,500,2.6979446411132813e-3,1,D,0,0
prog0331.ml,500,5.886408090591431,1000,S,0,0
prog0332.ml,500,5.879928112030029,1000,S,0,0
prog0333.ml,500,7.245779037475586e-3,3,U,23,5
prog0334.ml,500,3.087902069091797e-2,1,U,37,7
prog0335.ml,500,3.237009048461914e-2,1,U,37,7
prog0336.ml,500,3.209400177001953e-2,1,U,37,7
prog0337.ml,500,1.3395071029663086e-2,4,U,28,6
prog0338.ml,500,3.073596954345703e-2,1,U,37,7
prog0339.ml,500,1.6019821166992188e-2,7,U,18,4
prog0340.ml,500,1.23138427734375e-2,4,U,24,5
prog0341.ml,500,1.5214920043945313e-2,6,U,19,4
prog0342.ml,500,5.198955535888672e-3,4,U,14,4
prog0343.ml,500,6.482124328613281e-3,5,U,15,4
prog0344.ml,500,1.3189315795898438e-3,1,U,4,2
prog0345.ml,500,7.768869400024414e-3,2,U,11,3
prog0346.ml,500,1.818108558654785e-2,6,U,12,3
prog0347.ml,500,6.242990493774414e-3,1,U,19,5
prog0348.ml,500,3.6840438842773438e-3,1,U,14,5
prog0349.ml,500,5.709171295166016e-3,1,U,20,5
prog0350.ml,500,5.372047424316406e-3,1,U,19,5
prog0351.ml,500,5.548954010009766e-3,1,U,20,5
prog0352.ml,500,5.800008773803711e-3,1,U,20,5
prog0353.ml,500,2.9790401458740234e-3,1,U,11,3
prog0354.ml,500,3.4198760986328125e-3,1,U,11,3
prog0355.ml,500,1.7399787902832031e-3,1,U,7,4
prog0356.ml,500,4.525899887084961e-3,1,H,16,6
prog0357.ml,500,4.611015319824219e-3,1,H,16,6
prog0358.ml,500,4.606008529663086e-3,1,H,16,6
prog0359.ml,500,1.2205839157104492e-2,2,U,15,5
prog0372.ml,500,2.4609088897705078e-2,4,U,31,8
prog0373.ml,500,1.2817859649658203e-2,3,U,23,6
prog0374.ml,500,2.2572994232177734e-2,3,B,28,7
prog0375.ml,500,1.913309097290039e-2,4,B,22,6
prog0376.ml,500,19.20283007621765,374,U,112,38
prog0377.ml,500,8.118152618408203e-4,1,B,2,2
prog0378.ml,500,1.1928081512451172e-2,4,U,3,2
prog0379.ml,500,2.4313926696777344e-2,3,U,21,7
prog0380.ml,500,8.006095886230469e-2,9,U,29,8
prog0381.ml,500,1.97751522064209e-2,3,U,23,6
prog0382.ml,500,0.4645838737487793,5,U,126,37
prog0383.ml,500,4.010915756225586e-2,4,U,6,2
prog0384.ml,500,2.2275924682617188e-2,2,H,22,6
prog0385.ml,500,1.1123895645141602e-2,3,U,13,3
prog0386.ml,500,8.188009262084961e-3,2,U,13,3
prog0387.ml,500,5.085396766662598e-2,5,H,27,4
prog0388.ml,500,1.5523910522460938e-2,2,H,27,4
prog0389.ml,500,1.7800331115722656e-3,1,H,7,4
prog0390.ml,500,44.91521906852722,1000,S,0,0
prog0391.ml,500,1.0602951049804688e-2,1,U,34,10
prog0392.ml,500,1.0792016983032227e-2,1,U,34,10
prog0393.ml,500,3.568291664123535e-2,1,S,0,0
prog0394.ml,500,3.606891632080078e-2,1,S,0,0
prog0395.ml,500,1.1337995529174805e-2,1,U,35,10
prog0396.ml,500,1.0927915573120117e-2,1,U,35,10
prog0397.ml,500,41.905641078948975,1000,S,0,0
prog0398.ml,500,60.05029797554016,1,T,0,0
prog0399.ml,500,1.1538028717041016e-2,1,U,34,10
prog0400.ml,500,1.6605138778686523e-2,1,U,34,10
prog0401.ml,500,8.82411003112793e-3,1,S,0,0
prog0402.ml,500,1.651597023010254e-2,1,U,35,10
prog0403.ml,500,1.7019033432006836e-2,1,U,35,10
prog0404.ml,500,1.3724088668823242e-2,3,U,32,7
prog0405.ml,500,1.2049674987792969e-3,1,B,2,2
prog0406.ml,500,2.282857894897461e-3,1,U,6,3
prog0407.ml,500,3.763914108276367e-3,2,D,0,0
prog0408.ml,500,1.905679702758789e-2,1,U,30,5
prog0410.ml,500,2.278280258178711e-2,1,U,31,5
prog0411.ml,500,3.7106990814208984e-2,1,U,50,9
prog0412.ml,500,3.894305229187012e-2,1,U,50,9
prog0413.ml,500,3.60109806060791e-2,1,U,49,9
prog0414.ml,500,4.14128303527832e-2,1,U,58,11
prog0416.ml,500,0.10367798805236816,2,U,68,13
prog0417.ml,500,0.22036385536193848,3,U,117,26
prog0418.ml,500,1.9432239532470703,8,U,198,45
prog0419.ml,1000,60.00161099433899,1,T,0,0
prog0420.ml,1000,60.04150891304016,1,T,0,0
prog0421.ml,1000,60.000730991363525,1,T,0,0
prog0422.ml,500,1.1156110763549805,9,U,137,28
prog0423.ml,500,2.0838022232055664e-2,1,U,40,7
prog0424.ml,500,3.2527923583984375e-2,1,U,56,9
prog0425.ml,500,1.0677814483642578e-2,1,U,27,5
prog0426.ml,500,2.137899398803711e-3,1,U,6,2
prog0427.ml,500,2.087116241455078e-3,1,U,6,2
prog0428.ml,500,1.7126798629760742e-2,3,U,20,4
prog0429.ml,500,6.504058837890625e-3,2,U,9,2
prog0430.ml,500,0.13886809349060059,2,U,150,28
prog0431.ml,500,6.15692138671875e-3,3,U,9,3
prog0432.ml,500,8.008003234863281e-3,3,B,6,2
prog0433.ml,500,6.420135498046875e-3,2,U,8,2
prog0434.ml,500,6.518125534057617e-3,3,U,16,9
prog0435.ml,500,1.3702154159545898e-2,6,U,18,7
prog0436.ml,1000,60.002501010894775,1,T,0,0
prog0437.ml,1000,60.00654888153076,1,T,0,0
prog0438.ml,1000,60.00155997276306,1,T,0,0
prog0439.ml,500,7.258009910583496e-2,1,U,80,13
prog0440.ml,500,0.12992191314697266,4,U,32,6
prog0441.ml,500,1.4477968215942383e-2,6,U,10,2
prog0442.ml,500,8.082866668701172e-3,3,U,12,2
prog0443.ml,500,1.4822006225585938e-2,6,U,11,2
prog0444.ml,500,7.657051086425781e-3,3,B,11,2
prog0445.ml,500,1.8522977828979492e-2,1,U,35,6
prog0446.ml,500,1.989579200744629e-2,1,U,36,7
prog0447.ml,500,2.461719512939453e-2,1,U,41,8
prog0448.ml,500,1.686716079711914e-2,1,U,33,6
prog0449.ml,500,3.125596046447754e-2,1,U,42,8
prog0450.ml,500,5.1981210708618164e-2,3,U,39,8
prog0451.ml,500,0.20235300064086914,3,U,139,27
prog0452.ml,500,0.13680505752563477,1,U,89,16
prog0453.ml,500,2.6046037673950195e-2,2,U,25,6
prog0454.ml,500,3.191208839416504e-2,3,U,24,4
prog0455.ml,500,3.6787986755371094e-2,2,U,32,8
prog0456.ml,500,2.0879030227661133e-2,2,B,21,4
prog0457.ml,500,2.9419898986816406e-2,3,B,22,4
prog0458.ml,500,3.0955076217651367e-2,3,B,22,4
prog0459.ml,500,0.14777302742004395,5,U,99,23
prog0460.ml,500,6.556487083435059e-2,5,U,57,13
prog0461.ml,500,1.1418819427490234e-2,1,U,22,4
prog0462.ml,500,1.1384963989257813e-2,1,U,22,4
prog0463.ml,500,3.562808036804199e-2,3,U,28,6
prog0464.ml,500,2.2528886795043945e-2,2,U,25,5
prog0465.ml,500,2.010202407836914e-2,2,U,23,4
prog0466.ml,500,1.9593770503997803,1000,S,0,0
prog0467.ml,500,8.389949798583984e-4,1,D,0,0
prog0469.ml,500,1.62506103515625e-3,2,U,8,2
prog0470.ml,500,1.9600391387939453e-3,2,D,0,0
prog0472.ml,500,1.8150806427001953e-3,1,U,5,3
prog0473.ml,500,1.5774965286254883e-2,1,U,36,15
prog0474.ml,500,40.447206020355225,1000,S,0,0
prog0475.ml,500,1.3840198516845703e-3,1,U,3,2
prog0476.ml,500,8.437800407409668e-2,17,U,95,27
prog0477.ml,500,6.651997566223145e-2,12,U,75,22
prog0480.ml,500,1.7299652099609375e-3,1,U,7,2
prog0481.ml,500,5.589008331298828e-3,3,U,12,3
prog0482.ml,500,5.870977163314819,1000,S,0,0
prog0483.ml,500,4.326180934906006,1000,S,0,0
prog0484.ml,500,5.486140966415405,1000,S,0,0
prog0485.ml,500,4.8458781242370605,1000,S,0,0
prog0486.ml,500,3.644094944000244,1000,S,0,0
prog0487.ml,500,4.879951477050781e-3,1,U,17,5
prog0488.ml,500,2.630949020385742e-3,1,U,12,5
prog0489.ml,500,1.3380050659179688e-3,1,U,7,3
prog0490.ml,500,2.134084701538086e-3,1,H,8,4
prog0491.ml,500,4.010915756225586e-3,1,U,18,5
prog0492.ml,500,3.7059783935546875e-3,1,U,17,5
prog0493.ml,500,3.876924514770508e-3,1,U,18,5
prog0494.ml,500,3.9520263671875e-3,1,U,18,5
prog0495.ml,500,2.026796340942383e-3,1,H,9,5
prog0496.ml,500,2.318859100341797e-3,1,H,9,5
prog0497.ml,500,2.5899410247802734e-3,1,H,10,5
prog0498.ml,500,3.1070709228515625e-3,1,H,10,5
prog0499.ml,500,2.811908721923828e-3,1,H,10,5
prog0500.ml,500,2.744913101196289e-3,1,H,10,5
prog0501.ml,500,2.9320716857910156e-3,1,H,10,5
prog0502.ml,500,3.4029483795166016e-3,1,U,11,5
prog0503.ml,500,2.0308494567871094e-3,1,U,10,3
prog0504.ml,500,2.814054489135742e-3,1,H,14,6
prog0505.ml,500,2.98309326171875e-3,1,H,10,5
prog0506.ml,500,3.0341148376464844e-3,1,H,10,5
prog0507.ml,500,3.0329227447509766e-3,1,H,10,5
prog0508.ml,500,2.852916717529297e-3,1,H,9,5
prog0509.ml,500,3.0198097229003906e-3,1,H,9,5
prog0510.ml,500,3.6020278930664063e-3,1,H,13,5
prog0511.ml,500,4.683971405029297e-3,1,U,19,7
prog0512.ml,500,3.607034683227539e-3,1,H,12,5
prog0513.ml,500,3.7131309509277344e-3,1,H,13,5
prog0514.ml,500,1.6269683837890625e-3,1,U,6,2
prog0518.ml,500,2.5367021560668945e-2,3,U,38,9
