file,stepLimit,time,tests,outcome,steps,jumps
prog4148.ml,500,0.4896080493927002,5,U,41,8
prog4149.ml,500,3.699016571044922e-2,1,U,16,4
prog4150.ml,500,2.0823955535888672e-2,1,U,16,4
prog4151.ml,500,0.18702411651611328,1,S,0,0
prog4152.ml,500,60.03230595588684,1,T,0,0
prog4153.ml,500,5.329108238220215e-2,1,U,38,11
prog4154.ml,500,5.552506446838379e-2,1,U,39,11
prog4155.ml,500,60.00672888755798,1,T,0,0
prog4156.ml,500,0.12568402290344238,7,U,22,4
prog4157.ml,500,5.774497985839844e-2,4,U,21,4
prog4158.ml,500,2.1701812744140625e-2,1,U,10,4
prog4159.ml,500,0.1619889736175537,3,U,53,15
prog4160.ml,500,7.801508903503418e-2,3,U,45,13
prog4161.ml,500,0.2880430221557617,5,U,75,23
prog4162.ml,500,1.6952991485595703e-2,3,U,3,2
prog4163.ml,500,5.538201332092285e-2,2,U,20,3
prog4164.ml,500,1.225970983505249,11,U,95,18
prog4165.ml,500,2.246999740600586e-2,5,U,10,3
prog4166.ml,500,8.452987670898438e-2,1,U,41,7
prog4167.ml,500,0.9763801097869873,7,U,57,11
prog4168.ml,500,9.084320068359375e-2,1,U,41,7
prog4169.ml,500,8.996200561523438e-2,1,U,36,6
prog4170.ml,500,0.10721397399902344,1,U,41,7
prog4171.ml,500,8.429813385009766e-2,1,U,37,5
prog4172.ml,500,9.699106216430664e-2,1,U,39,6
prog4173.ml,500,0.10364294052124023,1,U,45,7
prog4174.ml,500,0.24010300636291504,2,U,47,7
prog4175.ml,500,0.11486291885375977,1,U,45,7
prog4176.ml,500,0.4278440475463867,3,U,47,7
prog4177.ml,500,0.33758997917175293,2,U,67,11
prog4178.ml,500,0.1462860107421875,1,U,45,7
prog4179.ml,500,0.3507809638977051,2,U,63,11
prog4180.ml,500,0.7280471324920654,4,U,85,16
prog4181.ml,500,0.2784998416900635,2,U,63,11
prog4182.ml,500,0.26329803466796875,2,U,47,7
prog4183.ml,500,0.2554819583892822,2,U,47,7
prog4184.ml,500,0.12446403503417969,1,U,44,7
prog4185.ml,500,1.7947230339050293,9,U,101,21
prog4186.ml,500,1.3278007507324219e-2,1,U,6,2
prog4187.ml,500,1.9257099628448486,2,U,197,38
prog4188.ml,500,1.903846025466919,2,U,197,38
prog4189.ml,500,1.9197499752044678,4,U,177,32
prog4191.ml,500,0.2048628330230713,1,U,46,10
prog4192.ml,500,0.20057988166809082,1,U,46,10
prog4193.ml,500,0.2864830493927002,3,U,42,10
prog4194.ml,500,0.3275749683380127,4,U,45,10
prog4195.ml,500,2.1923065185546875e-2,4,U,10,3
prog4196.ml,500,0.21441102027893066,1,U,73,14
prog4197.ml,500,0.2702920436859131,1,U,73,14
prog4198.ml,500,9.06991958618164e-3,3,D,0,0
prog4199.ml,500,1.0827779769897461e-2,3,D,0,0
prog4200.ml,500,5.883932113647461e-3,2,D,0,0
prog4201.ml,500,4.949569702148438e-4,1,B,1,1
prog4202.ml,500,9.376049041748047e-3,3,U,7,3
prog4203.ml,500,1.5411376953125e-3,1,U,2,2
prog4204.ml,500,2.5454998016357422e-2,3,U,8,3
prog4205.ml,500,8.147978782653809e-2,1,U,25,7
prog4206.ml,500,7.745909690856934e-2,1,U,25,7
prog4208.ml,500,5.060603857040405,1000,S,0,0
prog4209.ml,500,3.5878360271453857,1000,S,0,0
prog4210.ml,500,9.569406509399414e-2,15,U,17,4
prog4211.ml,500,0.11079192161560059,15,U,17,4
prog4212.ml,500,8.913302421569824e-2,16,U,16,3
prog4213.ml,500,7.596206665039063e-2,15,U,12,3
prog4214.ml,500,6.854510307312012e-2,11,U,9,3
prog4215.ml,500,7.84909725189209e-2,13,U,20,5
prog4216.ml,500,8.719205856323242e-2,18,U,14,3
prog4217.ml,500,6.573796272277832e-2,11,U,18,4
prog4218.ml,500,6.6530704498291016e-3,1,U,8,2
prog4219.ml,500,9.482860565185547e-3,1,U,9,2
prog4220.ml,500,0.13673186302185059,16,U,31,7
prog4221.ml,500,3.283977508544922e-3,1,U,1,1
prog4222.ml,500,8.349108695983887e-2,13,U,16,3
prog4223.ml,500,0.3984379768371582,14,U,32,7
prog4224.ml,500,0.38924193382263184,13,U,32,7
prog4225.ml,500,0.25939106941223145,11,U,11,2
prog4226.ml,500,0.7556421756744385,32,U,8,3
prog4227.ml,500,0.3439900875091553,15,U,12,3
prog4228.ml,500,7.665586471557617e-2,12,U,12,3
prog4229.ml,500,0.22166013717651367,16,U,15,3
prog4230.ml,500,9.188175201416016e-3,1,U,6,2
prog4231.ml,500,1.2520790100097656e-2,1,U,9,3
prog4232.ml,500,0.1959829330444336,6,U,25,4
prog4233.ml,500,5.691051483154297e-3,1,U,2,1
prog4234.ml,500,8.784055709838867e-3,1,U,5,2
prog4235.ml,500,0.1119530200958252,1,S,0,0
prog4236.ml,500,1.589679718017578e-2,3,U,12,5
prog4237.ml,500,4.0472984313964844e-2,4,U,11,4
prog4238.ml,500,2.532958984375e-3,1,B,2,1
prog4239.ml,500,3.922104835510254e-2,1,H,23,8
prog4240.ml,500,1.7847061157226563e-2,1,U,15,7
prog4241.ml,500,9.709835052490234e-3,1,U,8,3
prog4242.ml,500,2.0162105560302734e-2,1,U,14,7
prog4243.ml,500,2.2732019424438477e-2,1,U,14,7
prog4244.ml,500,1.685810089111328e-2,1,U,15,7
prog4245.ml,500,1.7621994018554688e-2,1,U,15,7
prog4246.ml,500,1.6206026077270508e-2,1,U,12,7
prog4247.ml,500,2.0998001098632813e-2,1,U,14,9
prog4248.ml,500,3.1968116760253906e-2,1,D,0,0
prog4249.ml,500,9.038925170898438e-3,1,U,6,3
prog4250.ml,500,1.2904882431030273e-2,1,U,12,5
prog4251.ml,500,1.7433881759643555e-2,1,H,12,7
prog4252.ml,500,2.80148983001709e-2,1,H,15,8
prog4253.ml,500,1.760101318359375e-2,1,U,15,7
prog4254.ml,500,2.4944782257080078e-2,1,U,18,7
prog4255.ml,500,2.023005485534668e-2,1,U,17,7
prog4256.ml,500,1.8617868423461914e-2,1,U,14,7
prog4257.ml,500,1.3633012771606445e-2,1,U,12,7
prog4258.ml,500,2.090907096862793e-2,1,U,14,7
prog4259.ml,500,1.10321044921875e-2,1,U,9,3
prog4260.ml,500,1.9917011260986328e-2,1,U,14,7
prog4261.ml,500,1.4781951904296875e-4,1,B,1,1
prog4262.ml,500,1.7368793487548828e-3,1,U,1,1
prog4263.ml,500,2.5000572204589844e-3,1,U,2,1
prog4264.ml,500,4.471087455749512e-2,3,U,7,2
prog4265.ml,500,0.45963001251220703,7,H,42,9
prog4266.ml,500,0.6372480392456055,7,U,57,12
prog4267.ml,500,0.19930696487426758,3,U,59,14
prog4268.ml,500,1.8430578708648682,8,U,13,4
prog4269.ml,500,0.269179105758667,3,U,30,9
prog4270.ml,500,6.582975387573242e-3,1,U,6,1
prog4271.ml,500,2.0089149475097656e-3,1,U,3,1
prog4273.ml,500,0.3533439636230469,4,U,21,6
prog4274.ml,500,1.8204560279846191,6,U,82,20
prog4275.ml,500,3.643798828125e-2,1,B,5,2
prog4277.ml,500,0.2060708999633789,2,U,45,8
prog4278.ml,500,2.2309064865112305e-2,1,U,13,2
prog4279.ml,500,4.25570011138916e-2,1,U,16,4
prog4280.ml,500,1.9845962524414063e-2,1,U,15,5
prog4281.ml,500,2.183985710144043e-2,1,U,15,5
prog4282.ml,500,60.01763296127319,1,T,0,0
prog4283.ml,500,2.408599853515625e-2,1,U,15,5
prog4284.ml,500,5.777096748352051e-2,1,U,34,10
prog4285.ml,500,60.00513005256653,1,T,0,0
prog4286.ml,500,0.20669889450073242,1,S,0,0
prog4287.ml,500,5.279994010925293e-2,3,U,20,5
prog4288.ml,500,6.5670013427734375e-3,1,B,2,2
prog4289.ml,500,0.1580338478088379,1,U,48,9
prog4290.ml,500,0.5885820388793945,2,U,101,17
prog4291.ml,500,0.31876492500305176,4,U,32,6
prog4292.ml,500,0.2663569450378418,3,U,45,8
prog4293.ml,500,4.090309143066406e-2,1,D,0,0
prog4294.ml,500,2.040386199951172e-2,1,D,0,0
prog4295.ml,500,2.968001365661621e-2,1,D,0,0
prog4296.ml,500,3.3596038818359375e-2,1,U,18,5
prog4297.ml,500,1.955580711364746e-2,1,U,13,5
prog4298.ml,500,1.214909553527832e-2,1,D,0,0
prog4299.ml,500,2.0663022994995117e-2,1,D,0,0
prog4300.ml,500,2.054309844970703e-2,1,D,0,0
prog4301.ml,500,2.4805068969726563e-2,1,D,0,0
prog4302.ml,500,2.072000503540039e-2,1,D,0,0
prog4303.ml,500,1.8954992294311523e-2,1,D,0,0
prog4304.ml,500,3.334498405456543e-2,1,U,18,5
prog4305.ml,500,1.5230178833007813e-2,1,U,13,5
prog4306.ml,500,9.550809860229492e-3,1,H,7,4
prog4307.ml,500,1.0998964309692383e-2,1,H,6,4
prog4308.ml,500,7.883071899414063e-3,1,H,7,4
prog4309.ml,500,6.42085075378418e-3,1,H,6,4
prog4310.ml,500,6.775856018066406e-3,1,H,7,4
